episode,reward,epsilon,Max Future Q-value,Action,State
221,-468,0.8610825207367275,-0.35220123167271034, ,Non ideal heartRate
222,-51,0.8609103042325802,-1.7188633917824951, , 
223,-379,0.8607381221717337,-1.6431774231330323,Daignose for SpO2 and FiO2,Non ideal ArterialpH level
224,25,0.8605659745472994,-0.4331871657921278, , 
225,-68,0.86039386135239,-1.0375351095445868, , 
226,-22,0.8602217825801196,-2.2849178823893723,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
227,-320,0.8600497382236036,-0.02932359216965974, ,Non ideal ArterialpH level
228,-454,0.859877728275959,-1.1205775053761382,Daignose for SpO2 and FiO2,Non ideal heartRate
229,-352,0.8597057527303038,-1.6431774231330323,Daignose for SpO2 and FiO2, 
230,-488,0.8595338115797577,-0.5667819943940442,Daignose for SpO2 and FiO2, 
231,13,0.8593619048174418,-0.04382422586460866,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
232,-303,0.8591900324364783,-0.35220123167271034,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
233,19,0.859018194429991,-0.26297342918891786,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
234,-312,0.858846390791105,-0.4192518677820489,Daignose for heartRate,Non ideal heartRate
235,20,0.8586746215129468,-2.875887361404833,Daignose for ArterialpH level, 
236,-91,0.8585028865886443,-0.17552225021391532, , 
237,-122,0.8583311860113265,-0.8983044081394729,Daignose for SpO2 and FiO2, 
238,-342,0.8581595197741243,-1.032335825793238,Daignose for heartRate,Non ideal heartRate
239,7,0.8579878878701694,-0.07364639048390931,Daignose for heartRate, 
240,-331,0.8578162902925954,-0.5936781987075515, ,Non ideal heartRate
241,8,0.857644727034537,-0.722018180119286,Daignose for heartRate,Non ideal ArterialpH level
242,-312,0.8574731980891301,-0.07640204513697046,Daignose for heartRate,Non ideal ArterialpH level
243,-460,0.8573017034495123,-0.3041611459063063,Daignose for ArterialpH level,Non ideal heartRate
244,-200,0.8571302431088224,-1.4384055002071365, ,Non ideal ArterialpH level
245,-53,0.8569588170602006,-0.21592621733758754, , 
246,-126,0.8567874252967885,-0.2635893638691176,Daignose for SpO2 and FiO2,Non ideal heartRate
247,-12,0.8566160678117292,-1.875339378809373, , 
248,-200,0.8564447445981669,-1.6698141028690352,Daignose for heartRate,Non ideal SpO2 and FiO2
249,-200,0.8562734556492473,-0.4451812971048845,Daignose for heartRate,Non ideal SpO2 and FiO2
250,-345,0.8561022009581174,-1.0784934931243, ,Non ideal ArterialpH level
251,-200,0.8559309805179258,-0.5380895179829128, , 
252,-323,0.8557597943218223,-1.7265552181864008,Daignose for ArterialpH level,Non ideal ArterialpH level
